% Model,spaceplate_final_3d_TA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 14 2025, 09:38"
% Table,Table 30 - Surface Average 2
% freq (Hz),abs(acpr.p_t)^2 (kg^2/(m^2*s^4))
8600,0.04287058288719248
8750,0.046801728477157384
8900,0.05209602690982879
9050,0.05930171311934507
9200,0.06930057451450332
9350,0.0835707007372455
9500,0.10471536939731375
9650,0.13758364426253958
9800,0.19171881466812643
9950,0.2863382463540602
10100,0.4544428048367758
10250,0.6924129168713511
10400,0.7542447200250096
10550,0.5145128123332513
10700,0.2950150869362533
10850,0.17396340666900473
11000,0.10995492348161451
11150,0.07411175800951789
11300,0.052640200444009716
11450,0.03899210055701863
11600,0.029879969878463485
11750,0.02354606824813249
11900,0.018994805120445706
12050,0.01563325473142914
12200,0.013092720270294473
12350,0.011135249983157038
12500,0.00960224508816442
12650,0.008384985107267557
12800,0.00740708316993221
12950,0.006613695498721652
13100,0.005964690532653749
13250,0.005430212544723973
13400,0.004987734007738826
13550,0.004620056972291466
13700,0.004313933238035003
13850,0.004059096416189878
14000,0.003847573433661453
14150,0.0036731890765253233
14300,0.00353120634746529
14450,0.0034180643879029938
14600,0.0033311884337058418
14750,0.003268855111607053
14900,0.003230102813395064
15050,0.003214681863570858
15200,0.003223043415919497
15350,0.0032563700779970517
15500,0.003316655826070003
15650,0.003406848697559127
15800,0.003531078311902626
15950,0.0036950035331858714
16100,0.003906337070074817
16250,0.004175639830742037
16400,0.0045175402511816514
16550,0.004952645696909333
16700,0.005510621444601035
16850,0.006235318066862379
17000,0.007193656144684157
17150,0.008491768442652673
17300,0.010306042527574038
17450,0.01294708606145115
17600,0.017003294203227035
17750,0.02369996767486448
17900,0.035934097471347015
18050,0.06188037793371072
18200,0.13117680734073905
18350,0.37992667647661954
18500,0.6377306951788346
18650,0.20972428493626738
18800,0.07990767985939594
18950,0.039957664557308016
