% Model,spaceplate_final_3d_TA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 14 2025, 12:24"
% Table,Table 32 - Surface Average 2
% freq (Hz),abs(acpr.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr.p_t)^2 (kg^2/(m^2*s^4))
8600,0.053979228546330305,0.05480480027306538
8750,0.06017423241047088,0.060920853792285456
8900,0.06853874948138591,0.06920972503297626
9050,0.08005523064229393,0.0806461219068756
9200,0.09635162233164969,0.09683834613105739
9350,0.12025256536442211,0.12055313917391897
9500,0.1569131723368207,0.15675596365090858
9650,0.21618851374383252,0.21461681273317762
9800,0.3170896766188682,0.3104489362111936
9950,0.490215183205454,0.4642722667307931
10100,0.7310377448076182,0.6454472312054136
10250,0.819552052208521,0.6671703079600391
10400,0.5966247212809741,0.478007589312886
10550,0.35585638927661795,0.2928878321990224
10700,0.21320940189217344,0.18032142761574885
10850,0.1355627521450436,0.11683064127029608
11000,0.0915664157744744,0.0798654707795397
11150,0.0650805287276373,0.057183150419492554
11300,0.048210428726374634,0.04254053245345331
11450,0.03693766763116772,0.03266211711121682
11600,0.02909910080082939,0.02574526377810055
11750,0.02346538831638248,0.020748485713667945
11900,0.019303242402528887,0.01704269634757762
12050,0.01615642565471649,0.014232645838359067
12200,0.013730492531551,0.012061260854298756
12350,0.011829257407470836,0.010356175635405189
12500,0.010318300430798991,0.008998674598053343
12650,0.009103225821756895,0.007905021962507372
12800,0.008116285035131336,0.0070148890780906146
12950,0.007307908522197821,0.006283982784829468
13100,0.006641207492050209,0.005679233784103078
13250,0.006088322650889218,0.005175586373151379
13400,0.005627950232169198,0.004753813786086883
13550,0.0052436354183227115,0.004399004547793114
13700,0.004922576283915537,0.004099496390683986
13850,0.004654773813485439,0.0038461139211927414
14000,0.004432420678288667,0.003631615659144298
14150,0.004249457582866454,0.003450287423005984
14300,0.004101249395003086,0.003297639356179736
14450,0.0039843488625229545,0.003170177380479057
14600,0.0038963264690260826,0.003065229052652587
14750,0.0038356527216365137,0.002980810225087939
14900,0.003801625064493076,0.002915523512500862
15050,0.003794336471000289,0.002868482929641099
15200,0.0038146872223392236,0.0028392615820961925
15350,0.0038644460660745648,0.0028278612597624282
15500,0.003946372659978241,0.002834704465934432
15650,0.004064421086863305,0.0028606510878976376
15800,0.004224056079807061,0.0029070438888975933
15950,0.004432732442228792,0.0029757896626594433
16100,0.004700619289865403,0.0030694867663176267
16250,0.005041703925135433,0.0031916156238083024
16400,0.0054755040266493684,0.003346817946857158
16550,0.006029788614418183,0.003541305043743033
16700,0.006745035623954046,0.0037834595788346437
16850,0.007682007416622424,0.0040847356909475795
17000,0.008935201621147174,0.004461033126363372
17150,0.010658018773761968,0.004934848869261241
17300,0.013112930695544502,0.005538749761311827
17450,0.01677956893441009,0.006321180157668765
17600,0.02261146732009188,0.0073565880313824815
17750,0.03272768157262046,0.008763967956487602
17900,0.05261578307246313,0.010742856428706064
18050,0.09994945741951931,0.013648303826329743
18200,0.2510465630012284,0.018161157207566378
18350,0.7326786607043769,0.025719232786352256
18500,0.3906686465663822,0.03977159269779026
18650,0.125702385527262,0.07012685122277623
18800,0.05583749586576586,0.15094544330971113
18950,0.030540330363891467,0.38331694741467653
