% Model,spaceplate_double_3d_PA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 14 2025, 08:46"
% Table,Table 5 - Surface Average 2
% freq (Hz),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))
5000,0.1446468487866515
5050,0.13779187918184543
5100,0.13140466817759386
5150,0.12545007037834421
5200,0.11989566659868713
5250,0.11471158965527031
5300,0.10987035111357539
5350,0.10534667209060225
5400,0.10111732027467395
5450,0.09716095459775519
5500,0.0934579784411663
5550,0.08999040183759147
5600,0.08674171282232654
5650,0.08369675786133937
5700,0.08084163112377936
5750,0.07816357225759313
5800,0.07565087225638195
5850,0.07329278696427428
5900,0.07107945774611794
5950,0.06900183884655295
6000,0.06705163096949213
6050,0.06522122062520566
6100,0.06350362481355212
6150,0.06189244063641442
6200,0.06038179945898798
6250,0.05896632526684333
6300,0.05764109689325619
6350,0.05640161381819998
6400,0.0552437652667044
6450,0.05416380235937609
6500,0.053158313092182684
6550,0.05222419994539498
6600,0.05135865994380312
6650,0.05055916701109479
6700,0.0498234564815978
6750,0.04914951165205712
6800,0.048535552275129505
6850,0.04798002491507353
6900,0.047481595104675665
6950,0.047039141261759024
7000,0.046651750342546594
7050,0.04631871522985857
7100,0.046039533875358765
7150,0.04581391023816532
7200,0.04564175708732623
7250,0.0455232007634598
7300,0.04545858802594529
7350,0.04544849514736805
7400,0.04549373945724495
7450,0.04559539358363935
7500,0.045754802695522685
7550,0.04597360511249141
7600,0.04625375672359751
7650,0.046597559746447983
7700,0.047007696464737576
7750,0.0474872687107071
7800,0.04803984401436708
7850,0.048669509529494635
7900,0.04938093507627622
7950,0.05017944692174059
8000,0.0510711142653745
8050,0.05206285082537782
8100,0.05316253445250841
8150,0.05437914836146977
8200,0.055722948400964485
8250,0.057205661830066104
8300,0.05884072439295209
8350,0.0606435641684006
8400,0.06263194282344134
8450,0.06482636766622434
8500,0.06725059146570903
8550,0.06993222164338779
8600,0.0729034664954858
8650,0.07620205404609803
8700,0.07987236960479578
8750,0.0839668719812426
8800,0.08854786678305
8850,0.09368973990714811
8900,0.09948178740962965
8950,0.10603182231217928
9000,0.11347079836969118
9050,0.12195877013119284
9100,0.13169261324536008
9150,0.14291606404668086
9200,0.1559328048553045
9250,0.1711235121455314
9300,0.18896796121996098
9350,0.2100733367514023
9400,0.23520956852310657
9450,0.2653511787397691
9500,0.3017214174124827
9550,0.3458254500970309
9600,0.3994392037085245
9650,0.4644788168762037
9700,0.5425989486008039
9750,0.634257001153429
9800,0.7369178932127711
9850,0.842386749436355
9900,0.9345831618180749
9950,0.9913621882824962
10000,0.9937761405553741
10050,0.9384211838687265
10100,0.8405364575917513
10150,0.7238841324076292
10200,0.6084184218297556
10250,0.5053097307762854
10300,0.4183645343349662
10350,0.3472172325550167
10400,0.2897835641431538
10450,0.2435981717035071
10500,0.2063904638962792
10550,0.17626500884338248
10600,0.15171009453573164
10650,0.13154552267322325
10700,0.11485786449561235
10750,0.10094129113287066
10800,0.08924904840540583
10850,0.07935556917998535
10900,0.0709275827190891
10950,0.0637023176507431
11000,0.05747111350129258
11050,0.052067088761772004
11100,0.04735583036783313
11150,0.04322833001023153
11200,0.03959559404843092
11250,0.03638450462066556
11300,0.03353462074328113
11350,0.030995689585209298
11400,0.0287256975451958
11450,0.02668933420693526
11500,0.024856774093785852
11550,0.023202704583448176
11600,0.02170554567745009
11650,0.020346820209734027
11700,0.01911064271708605
11750,0.017983302443361323
11800,0.016952921433938957
11850,0.016009172850217135
11900,0.015143047828058398
11950,0.014346661662612524
12000,0.013613092004628242
12050,0.012936243233999695
12100,0.012310732334399593
12150,0.01173179250339604
12200,0.011195191451874333
12250,0.010697161917669777
12300,0.010234342373886055
12350,0.009803726277230565
12400,0.009402618495366834
12450,0.009028597789530532
12500,0.008679484421139198
12550,0.008353312107890018
12600,0.00804830368304839
12650,0.007762849916802206
12700,0.0074954910451890035
12750,0.007244900623709604
12800,0.0070098713820867745
12850,0.006789302806025508
12900,0.006582190213028503
12950,0.006387615123819475
13000,0.006204736759871085
13050,0.006032784521912826
13100,0.005871051324860265
13150,0.005718887682025143
13200,0.00557569644622095
13250,0.005440928127963
13300,0.00531407672164989
13350,0.005194675979781366
13400,0.005082296083096344
13450,0.004976540661245932
13500,0.004877044124406772
13550,0.0047834692712266915
13600,0.004695505142813282
13650,0.004612865096214477
13700,0.004535285074087919
13750,0.004462522050089713
13800,0.004394352631988562
13850,0.0043305718066715335
13900,0.004270991813173521
13950,0.004215441131448375
14000,0.0041637635762452165
14050,0.0041158174866873206
14100,0.0040714750034253405
14150,0.004030621426313296
14200,0.0039931546465688875
14250,0.0039589846482966555
14300,0.003928033075117595
14350,0.0039002328584452255
14400,0.00387552790472122
14450,0.0038538728396398138
14500,0.0038352328081074105
14550,0.00381958332937063
14600,0.003806910207436234
14650,0.0037972094975976672
14700,0.0037904875305915355
14750,0.003786760996637665
14800,0.0037860570923910096
14850,0.003788413734648804
14900,0.003793879845549798
14950,0.003802515714968604
15000,0.003814393446892572
15050,0.003829597497766095
15100,0.0038482253161625586
15150,0.003870388094693308
15200,0.0038962116468578677
15250,0.00392583742361163
15300,0.003959423686834439
15350,0.003997146859702356
15400,0.004039203077274901
15450,0.004085809964514639
15500,0.004137208673565787
15550,0.004193666217614803
15600,0.004255478145184759
15650,0.004322971606535254
15700,0.0043965088732189584
15750,0.0044764913831377455
15800,0.004563364397085337
15850,0.0046576223693153345
15900,0.004759815154811821
15950,0.004870555200558755
16000,0.004990525898806112
16050,0.005120491314197282
16100,0.005261307552752466
16150,0.005413936081412021
16200,0.005579459395057248
16250,0.005759099508087248
16300,0.005954239864627979
16350,0.0061664514054497865
16400,0.006397523714206963
16450,0.006649502402917999
16500,0.006924734203569276
16550,0.007225921632711133
16600,0.007556189620685648
16650,0.007919167190963165
16700,0.00831908819971281
16750,0.008760916388450259
16800,0.009250501687822868
16850,0.009794777017603291
16900,0.010402008018267721
16950,0.011082112608841701
17000,0.011847073570656822
17050,0.012711476380741183
17100,0.013693217604931836
17150,0.014814448406561728
17200,0.01610284646196997
17250,0.01759335318265762
17300,0.019330580498192765
17350,0.021372197483197224
17400,0.023793777504475987
17450,0.02669586660070125
17500,0.030214505401075963
17550,0.03453725242218576
17600,0.039928208105603505
17650,0.04676820413368215
17700,0.05562138167741466
17750,0.06734932457256554
17800,0.08331413161507221
17850,0.10575412252243963
17900,0.13850527507094584
17950,0.18842067896976325
18000,0.2680961284062577
18050,0.4000064978865416
18100,0.6140156210038897
18150,0.8872238271627222
18200,0.9939120799365688
18250,0.7837533502184217
18300,0.5138157494890173
18350,0.3304388738516239
18400,0.22100784560072323
18450,0.15504814607164755
18500,0.11352886142549848
