% Model,spaceplate_double_3d_PA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 5 2025, 16:35"
% Table,Table 4 - Surface Average 2
% freq (Hz),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))
10000,0.9937962206521985
10005,0.990742471552148
10010,0.9871017469680605
10015,0.9828843092780303
10020,0.9781024208486861
10025,0.9727702434308335
10030,0.9669037222099616
10035,0.9605204563166436
10040,0.9536395577735595
10045,0.9462815009828638
10050,0.9384679649385091
10055,0.9302216703710773
10060,0.9215662140177971
10065,0.9125259021443041
10070,0.9031255853427497
10075,0.8933904964933514
10080,0.8833460936078223
10085,0.8730179090881894
10090,0.8624314067257373
10095,0.851611847554661
10100,0.8405841654538498
10105,0.8293728531790892
10110,0.8180018592951105
10115,0.8064944962795387
10120,0.794873359893482
10125,0.7831602597383339
10130,0.7713761607766327
10135,0.7595411354637552
10140,0.7476743260345992
10145,0.7357939163914842
10150,0.7239171129830914
10155,0.7120601340042235
10160,0.7002382062202263
10165,0.6884655686937802
10170,0.676755482696792
10175,0.6651202470888762
10180,0.6535712184679312
10185,0.6421188354175995
10190,0.6307726462142148
10195,0.6195413393923
10200,0.6084327766017276
10205,0.5974540272443621
10210,0.586611404413598
10215,0.5759105017064926
10220,0.5653562305273803
10225,0.5549528575401315
10230,0.5447040419694112
10235,0.5346128724911494
10240,0.524681903489082
10245,0.5149131904899888
10250,0.5053083246213947
10255,0.49586846596221706
10260,0.48659437568928104
10265,0.4774864469411699
10270,0.4685447343422419
10275,0.4597689821532678
10280,0.45115865102652447
10285,0.4427129433575444
10290,0.43443082724403204
10295,0.4263110590631706
10300,0.41835220469732104
10305,0.4105526594373241
10310,0.4029106666032626
10315,0.39542433492464885
10320,0.3880916547278149
10325,0.3809105129780928
10330,0.3738787072284675
10335,0.3669939585259721
10340,0.36025392332947015
10345,0.35365620448880275
10350,0.3471983613393065
10355,0.3408779189613404
10360,0.33469237665500373
10365,0.3286392156775053
10370,0.3227159062915298
10375,0.3169199141675391
10380,0.3112487061855617
10385,0.30569975567570634
10390,0.30027054713654094
10395,0.2949585804718163
10400,0.2897613747766966
10405,0.28467647171030785
10410,0.27970143848439727
10415,0.27483387049803754
10420,0.2700713936475603
10425,0.2654116663361199
10430,0.2608523812084745
10435,0.2563912666339227
10440,0.2520260879584393
10445,0.24775464854557644
10450,0.2435747906259177
10455,0.23948439597088753
10460,0.23548138640783484
10465,0.23156372419083457
10470,0.2277294122409701
10475,0.22397649426896796
10480,0.2203030547914288
10485,0.21670721905224632
10490,0.2131871528583006
10495,0.2097410623391444
10500,0.20636719363902806
10505,0.20306383254882848
10510,0.19982930408518418
10515,0.19666197202297717
10520,0.193560238387918
10525,0.19052254291342613
10530,0.18754736246800263
10535,0.18463321045683231
10540,0.1817786362019399
10545,0.178982224304928
10550,0.17624259399521616
10555,0.17355839846700988
10560,0.1709283242081626
10565,0.16835109032283407
10570,0.16582544785060088
10575,0.16335017908403185
10580,0.1609240968863405
10585,0.15854604401087538
10590,0.1562148924240559
10595,0.15392954263259434
10600,0.15168892301673131
10605,0.1494919891699812
10610,0.14733772324648184
10615,0.1452251333168888
10620,0.14315325273306653
10625,0.14112113950256944
10630,0.13912787567308912
10635,0.13717256672745362
10640,0.1352543409894674
10645,0.13337234904085743
10650,0.1315257631495261
10655,0.12971377670936904
10660,0.12793560369160306
10665,0.12619047810794706
10670,0.12447765348529177
10675,0.12279640235246173
10680,0.12114601573830586
10685,0.1195258026818139
10690,0.11793508975355296
10695,0.11637322058874466
10700,0.11483955543165218
10705,0.1133334706913848
10710,0.11185435850853168
10715,0.11040162633298341
10720,0.10897469651245664
10725,0.10757300589163268
10730,0.10619600542169125
10735,0.10484315978016467
10740,0.10351394700069348
10745,0.10220785811283467
10750,0.10092439679128207
10755,0.0996630790146833
10760,0.0984234327336297
10765,0.09720499754764651
10770,0.09600732439108473
