% Model,spaceplate_single_2d.mph
% Version,COMSOL 6.2.0.415
% Date,"Jul 14 2025, 11:58"
% Table,Table 11 - Line Average 2
% freq (Hz),abs(acpr.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
10000,0.5051534791547647,0.49426922296439313
10200,0.5358686040554421,0.46353801392537775
10400,0.5697475401034755,0.42977772132022884
10600,0.606718776095468,0.3930154611505643
10800,0.6465591933386917,0.35340242315869097
11000,0.6888852449504594,0.3112478257453791
11200,0.7331371540251138,0.26706098585500165
11400,0.7785423869486503,0.22160545653958483
11600,0.8240529139602518,0.1759634954567724
11800,0.8682705287010729,0.13159510884882136
12000,0.9094011269556309,0.09035636837223673
12200,0.9452989103699893,0.054427509144767176
12400,0.9736545544826944,0.026110064383106382
12600,0.9923315248953307,0.007497498248254242
12800,0.9997721306221093,9.546043578197013E-5
13000,0.9953283457722185,0.004522339983647933
13200,0.9793817075176213,0.02040709971730075
13400,0.9532122290237596,0.046513721887473665
13600,0.9186943349342596,0.0810188556288984
13800,0.8779554328384827,0.12182315963251637
14000,0.8331047800445323,0.16680531162889906
14200,0.7860692070583083,0.21399002851127194
14400,0.7385147645252628,0.2616477451242474
14600,0.691814848385521,0.3083544071940452
14800,0.6470369085455462,0.35302665964573693
15000,0.6049396778101104,0.39493182442204433
15200,0.56598513544722,0.43366669003875064
15400,0.5303703739780701,0.46910470512531083
15600,0.4980787631195362,0.5013205811642165
15800,0.46894354292228785,0.5305076152689808
16000,0.44271377877748597,0.5569035487400296
16200,0.41911285455746206,0.58073657754312
16400,0.3978822167461292,0.6021967002873804
16600,0.3788067095475305,0.6214310634939967
16800,0.3617217175951928,0.6385567776644542
17000,0.34650575534320566,0.653681785929369
17200,0.3330644082696732,0.6669242638804735
17400,0.32131215402785135,0.6784234971628098
17600,0.3111575967884038,0.6883392089787781
17800,0.3024955863122419,0.6968404561606616
18000,0.29520732658414756,0.704088247735306
18200,0.28916750992309825,0.71021736916272
18400,0.2842560347976604,0.7153225639823281
18600,0.280371062651388,0.7194526445019683
18800,0.2774400744297969,0.722613798972987
19000,0.27542622475106915,0.7247808832817336
19200,0.27432857381534476,0.7259134040188379
19400,0.2741764071400999,0.7259717498997039
19600,0.27501936830457224,0.7249293280258077
19800,0.27691609526732575,0.722777545627934
20000,0.27992425619611083,0.7195225962146159
20200,0.28409439236551554,0.7151751218866887
20400,0.28946902675423614,0.7097354694005912
20600,0.29608733585384733,0.7031781172907451
20800,0.3039945021379977,0.6954388515054944
21000,0.3132538348107699,0.6864074926265076
21200,0.32395906351490833,0.6759276096294351
21400,0.3362440737137081,0.6638029688551268
21600,0.3502878593985639,0.6498088433521513
21800,0.36631350532724666,0.633705180911612
22000,0.38458125744985583,0.6152483565036473
22200,0.4053767964222939,0.594198965399882
22400,0.42899636842917943,0.5703247353320912
22600,0.45573027586268006,0.5433998477108796
22800,0.48584532865367075,0.5132043869101363
23000,0.5195652061378524,0.47952991577069937
23200,0.5570453691519449,0.4421989341132751
23400,0.5983365385668329,0.4011067553114863
23600,0.6433286749527147,0.35629346820343893
23800,0.6916674491731474,0.3080501289847446
24000,0.7426397867263946,0.2570556939614094
