% Model,spaceplate_single_3d.mph
% Version,COMSOL 6.2.0.415
% Date,"Jul 16 2025, 13:15"
% Table,Table 10 - Surface Average 1
% freq (Hz),abs(acpr.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
10000,0.04402393723809103,0.9556600741318092
10250,0.05076946351289851,0.9486865396346368
10500,0.05965458615351713,0.9398034433399328
10750,0.0715966143118775,0.9280969248107175
11000,0.08804623812892988,0.9120285530140841
11250,0.11140728968181406,0.8890466999027121
11500,0.1458546180764498,0.8548222132795447
11750,0.19895477709930418,0.8016859814588577
12000,0.284751947329709,0.7155896246685277
12250,0.42803760130683727,0.5718645650903692
12500,0.657794976840803,0.3417851341280398
12750,0.925973345233528,0.07367297114292194
13000,0.9753998778477185,0.024487535805343037
13250,0.7359044119341271,0.2639579760213902
13500,0.481416155159546,0.5184456500147788
13750,0.3153417089302708,0.6847849488337797
14000,0.2161085222935692,0.7844526031800234
14250,0.15556678656586279,0.8453919764321012
14500,0.11693666793649458,0.8841941755808377
14750,0.09114962443049988,0.9098203944871156
15000,0.07323993141518004,0.9272438756427449
15250,0.060379017486673126,0.939417882243387
15500,0.050884110662529056,0.9482343857263636
15750,0.04371204348639576,0.9549670134836383
16000,0.03819120212938864,0.9604603449968635
16250,0.03387367439392942,0.9652070224861963
16500,0.03045075369412297,0.9693952174663023
16750,0.02770351383443674,0.9729738719560682
17000,0.025473657890614183,0.9757545077054134
17250,0.02364629428769104,0.9775414596843337
17500,0.022139455229904452,0.9782598322665278
17750,0.020896907579551004,0.9780394061467946
18000,0.019882068672250498,0.9772200773722985
18250,0.019072007750346318,0.9762703330619051
18500,0.018451540506498568,0.9756444176708441
18750,0.01800808671591513,0.975630068919499
19000,0.017728156832355856,0.9762452779167704
19250,0.01759616994895418,0.9772279466579181
19500,0.01759592218183982,0.9781320213716451
19750,0.017714427553156786,0.9785047849370945
20000,0.017947040413362786,0.978082378667284
20250,0.01830202715255193,0.9769208449500768
20500,0.018802662371272632,0.9753955106243357
20750,0.01948581537541398,0.9740536850319488
21000,0.020397466733708094,0.9733704866036336
21250,0.02158685134032692,0.9735018261561647
21500,0.023101642894946553,0.9741352422194943
21750,0.024987174719502684,0.9745127379588638
22000,0.027293377999522417,0.9736468159430878
22250,0.03009318588945294,0.9706737069439879
22500,0.03351457292580283,0.9652051575390654
22750,0.03778573355134599,0.9574990244308851
23000,0.04329299802943573,0.9483230536162094
23250,0.05065802905488452,0.9385150838707619
23500,0.060856080624938566,0.9283546912284898
23750,0.07542253451161375,0.9168770607406985
24000,0.0968445600082506,0.9011788390720916
24250,0.12935192931993508,0.8756073091021628
24500,0.1805994833719996,0.8304091377961156
24750,0.2652627194059916,0.7487931317072618
25000,0.4113411558670374,0.6014117622869725
25250,0.656943252384763,0.3502596389005528
25500,0.9444851079787177,0.055530233837993666
25750,0.9368025548037675,0.05976816945804584
26000,0.6380921676488495,0.35982416320572086
26250,0.3923378067484022,0.6098463430616204
26500,0.2517345642571742,0.7573050524946948
26750,0.17270444937863688,0.8443558226270356
27000,0.12524234772903098,0.8981387389450728
27250,0.09438678050415204,0.9304970087838758
27500,0.07294105422674996,0.9468159832058167
27750,0.057416587663277834,0.9512262987387978
28000,0.04604622142858516,0.9486174835221307
28250,0.03780734201080042,0.9445109783462221
28500,0.031979888679328695,0.9439742309740261
28750,0.027981730821274475,0.9505306175480683
29000,0.025313979566820535,0.9654093638641366
29250,0.023531201844874724,0.9870822418621306
29500,0.022221413344344545,1.011167328848151
29750,0.02101961240922849,1.0312022448359552
30000,0.019672338095383064,1.0408049497652914
30250,0.018113933536229504,1.036685777721781
30500,0.016469420260782613,1.0205547513376807
30750,0.014956964023038907,0.9983154199601506
31000,0.013768578573428997,0.9772478415121658
31250,0.0130109698700022,0.9632660942517661
31500,0.012706702913412133,0.9594033846452414
31750,0.01281030298274653,0.965285056366618
32000,0.013209864620046016,0.9771065412567893
32250,0.013722711614385062,0.9883104577613628
32500,0.014125326997514766,0.9916621247598347
32750,0.01424733745042358,0.9826185421538653
33000,0.014080550611458024,0.9620193492255813
33250,0.013798353247399971,0.9358392282814356
33500,0.013668632598120338,0.9123219814938152
33750,0.01395934907609433,0.8989481645378136
34000,0.014909476760438339,0.9007764221469479
34250,0.016743537410005532,0.9197126802860581
34500,0.01966367769365703,0.9535279515925223
34750,0.023756932700214485,0.9942299526101486
35000,0.028818306950179822,1.0274704667306256
35250,0.03428089954088605,1.0366890169202454
35500,0.03958567972786992,1.0126866093589473
35750,0.04492616015877836,0.9604634593798473
36000,0.0517960118375266,0.8950283009873647
36250,0.06340157221631529,0.831022824595896
36500,0.08637366143369117,0.7752934419760676
36750,0.13745878064079348,0.7212149738288096
37000,0.2680418317587944,0.6287539105260147
37250,0.6252598861042526,0.3566867375676979
37500,0.9935938231451805,1.5312635103365265E-4
37750,0.5973361742898355,0.33281931643125384
38000,0.3008133805349431,0.6555104511026428
38250,0.16568373549510537,0.8288465812748472
38500,0.09642158313183054,0.9101343323925917
38750,0.058000575212934405,0.9311038657944656
39000,0.03643473789632185,0.9201351532794716
39250,0.024421936274085728,0.9025817603919645
39500,0.017762359147916656,0.8962164321579159
39750,0.014095573326685864,0.9111514002149936
40000,0.01211342019229498,0.9511918695827513
