% Model,spaceplate_double_2d.mph
% Version,COMSOL 6.2.0.415
% Date,"Jul 15 2025, 14:50"
% Table,R - T - Reflection
% freq (Hz),abs(acpr.p_s)^2 (kg^2/(m^2*s^4)),abs(acpr.p_t)^2 (kg^2/(m^2*s^4))
10000,0.7908771242916828,0.20914732413175005
11000,0.7149492922919257,0.28435765936571467
12000,0.46864245525395953,0.5315720998922815
13000,0.03070985061902758,0.9691340732644085
14000,0.1971200010042184,0.8028155198382361
15000,0.43574354816782346,0.5637746118339387
16000,0.4110568758251016,0.5892033815896788
17000,0.09455273693191982,0.9052326337524631
18000,0.2597042893924223,0.740135837030006
19000,0.7494485946136425,0.25024753836572994
20000,0.8908193309404555,0.10964755776552045
21000,0.9311094530805648,0.06838017783882512
22000,0.9412578443604246,0.05825564659584199
23000,0.9336039783321751,0.06684723290703044
24000,0.8922379792450084,0.107217132936573
25000,0.7391542044421059,0.26021332727253904
26000,0.2840985938427009,0.7161028574494077
27000,0.3040877917385244,0.6957064039887263
28000,0.9586622862973972,0.041878135621088636
29000,0.9982085442431375,1.5101663535995277E-4
30000,0.9985852570236939,0.0015166976634973617
31000,0.9956158987339252,0.004275900563062006
32000,0.9879483529045031,0.008764388966687395
33000,0.9776711577227817,0.020548683769013275
34000,0.9312399411225369,0.06909285998348375
35000,0.5463712787537426,0.44986158148532146
36000,0.22239335307875752,0.7741555333649754
37000,0.5071996501605839,0.4914214714475944
38000,0.08197731538162888,0.9163224683763477
39000,0.6864283620248063,0.3100491975125565
40000,0.9326491702541899,0.05668192294796231
