% Model,spaceplate_double_3d.mph
% Version,COMSOL 6.2.0.415
% Date,"Jul 17 2025, 09:39"
% Table,Table 1 - Surface Average 1
% freq (Hz),abs(acpr.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
10000,0.0031825201731242206,0.9968246735641608
10250,0.003565542666047147,0.9968078508697943
10500,0.004111035643789638,0.9970240662215919
10750,0.004892084730294213,0.9971666423185167
11000,0.006031555847618467,0.9968235503582632
11250,0.0077462606742405,0.9955210637286236
11500,0.010442549150127555,0.9927096507389803
11750,0.014941121399344583,0.9875896084925508
12000,0.023063380419542052,0.9785290397706843
12250,0.039372836013342696,0.9612821353008064
12500,0.07724998611421538,0.9228505734129809
12750,0.18399805492798268,0.8163263566700217
13000,0.5310843009628103,0.4704478791034602
13250,1.0014762114634745,1.916833755456106E-4
13500,0.7231315462767198,0.2779938163158197
13750,0.5526408698692865,0.44932836924728137
14000,0.6300710988295531,0.3725156255277994
14250,0.978340395007904,0.023475843892903102
14500,0.4948522978675399,0.5076922296000004
14750,0.11243803243393391,0.890676446643694
15000,0.03396362747606018,0.9684066744561893
15250,0.013082045685396568,0.9882333660529791
15500,0.0058936241311055605,0.9945374459805518
15750,0.0029505416687210457,0.9970493180747366
16000,0.0015910404012225159,0.9985396523965018
16250,9.050574129430908E-4,0.9998508296316447
16500,5.348763883781583E-4,1.0011274239436556
16750,3.243979323037987E-4,1.0022347603380448
17000,1.9972778182179333E-4,1.0029665132682573
17250,1.2351690760916618E-4,1.0031741675756836
17500,7.583562585570471E-5,1.0028406827497718
17750,4.5553059819827296E-5,1.0020978422570754
18000,2.6211066636270615E-5,1.0011911373853943
18250,1.3947231656115237E-5,1.000407633363182
18500,6.402591890974962E-6,0.9999911852400918
18750,2.1242709993061385E-6,1.0000711457357405
19000,2.272160095556469E-7,1.0006252456096971
19250,1.9751176527552647E-7,1.0014869935533912
19500,1.7773893439748361E-6,1.002395542693594
19750,4.901409542099843E-6,1.0030740298822989
20000,9.669071424627011E-6,1.0033135804337718
20250,1.6348257005589092E-5,1.0030374187801292
20500,2.5410148886299508E-5,1.002324809301072
20750,3.760203030840126E-5,1.0013870113444887
21000,5.407213543915701E-5,1.0005028127461506
21250,7.657372610469713E-5,0.9999337298397125
21500,1.0779927765329145E-4,0.9998444029147506
21750,1.519407038414032E-4,1.0002512109470336
22000,2.156606633582114E-4,1.0010135089175944
22250,3.0984421649521475E-4,1.0018698173111884
22500,4.5289973346936737E-4,1.0025083505241192
22750,6.772932530372879E-4,1.0026495289831632
23000,0.0010432353924483197,1.0021100993192544
23250,0.0016693309879617071,1.0008146589606348
23500,0.0028070347544833763,0.9987138847713574
23750,0.005040935702802352,0.9955294843715226
24000,0.009903219555170283,0.9900550524475835
24250,0.02211983880573189,0.9778226547237243
24500,0.06004137506790949,0.940608925054958
24750,0.220263199701081,0.7817237806392265
25000,0.8730683970248152,0.12920083745990543
25250,0.7487409158060518,0.25285020978084105
25500,0.4743249313931141,0.5283259559914285
25750,0.4627183014635352,0.5401506441037266
26000,0.6731142304005631,0.32892362911484124
26250,0.9996214749059209,0.0020669122742607376
26500,0.4495734417864977,0.5530545282197942
26750,0.143294371570575,0.858186516440773
27000,0.05844586383667424,0.9418897713818332
27250,0.0292044536888351,0.9706033238500111
27500,0.016785733115823608,0.9831868698138705
27750,0.010665394060542621,0.9900294615602815
28000,0.007306899165965659,0.9943898751935956
28250,0.005309705588241825,0.9973283446729648
28500,0.004046509804936553,0.9991661982828702
28750,0.00320853842069313,1.0000284776554587
29000,0.0026320860529284533,1.0000694370195087
29250,0.002224991193042024,0.9995456670556521
29500,0.0019327288110573976,0.9987973630589992
29750,0.0017216702891013156,0.9981770421652741
30000,0.0015703541679644585,0.9979619996064834
30250,0.0014647368314847256,0.9982827571496168
30500,0.0013955324314471795,0.9990907228023369
30750,0.0013567093307472636,1.0001756090134422
31000,0.0013446659054763576,1.0012290665001247
31250,0.001357837156345661,1.001937734628275
31500,0.0013966056909218056,1.0020791187527724
31750,0.001463465816903677,1.0015909233690032
32000,0.0015634523618371014,1.0005912708807096
32250,0.0017049212717741957,0.9993424187071573
32500,0.001900883318368222,0.9981686661563459
32750,0.002171289865878396,0.9973529508738068
33000,0.002547048310385504,0.997041403754312
33250,0.003077335585799741,0.997180386069782
33500,0.0038435554177513095,0.9974984845208063
33750,0.004987582896560347,0.9975281861038338
34000,0.0067732580252723865,0.9966363170964849
34250,0.009733220496473937,0.9939865277978279
34500,0.015064132861108909,0.9882391009624081
34750,0.025876630768368717,0.9763536220847558
35000,0.05215993808294519,0.9486268968122191
35250,0.13836696451386127,0.8611293877380857
35500,0.5743153635229457,0.42552605030217566
35750,0.7286586081299229,0.2719194987340829
36000,0.21736604079415295,0.7816450290836204
36250,0.1014971498587169,0.8980416481665616
36500,0.06392968474668623,0.9368685108073183
36750,0.048312941019030727,0.9538443793493449
37000,0.04156318953469563,0.9615871476445874
37250,0.039789010385491715,0.9636775359301191
37500,0.04215688164842122,0.960856104507521
37750,0.049895039469271714,0.9520434739089311
38000,0.06788240636751754,0.9327170874343902
38250,0.1132791996206677,0.8862168513813518
38500,0.2684795349412411,0.7308469555978584
38750,0.9282200210555983,0.07293856074125098
39000,0.373820666736786,0.6253601990221268
39250,0.09703602122068838,0.9028162072544498
39500,0.039000791263382725,0.9623590468903166
39750,0.01993482638397656,0.982794245126222
40000,0.011746727380794658,0.9917686618343209
