% Model,spaceplate_double_3d.mph
% Version,COMSOL 6.2.0.415
% Date,"Jul 21 2025, 16:13"
% Table,Table 3 - transmitted field
% freq (Hz),"theta0=0, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=5, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=10, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=15, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=20, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=25, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=30, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=35, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=40, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=45, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=50, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=55, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=60, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=65, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=70, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=75, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=80, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=85, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=90, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))"
10000,0.0031587486260363563,0.0032318336071134298,0.003475976856811553,0.003946949597992869,0.004613362843394601,0.00508700974438713,0.004951994838170702,0.005057934788572207,0.00797494461998525,0.021619713598384705,0.021726500473452554,0.008783844189810024,0.014894330310265177,0.20262157345016918,0.027029800321982354,0.01121109553875334,0.3801104014940763,0.33362988514465325,0.015101035054290756
10250,0.0035310525220076444,0.0035992184767555477,0.0038376921598618366,0.0043477620703767685,0.005224444697644332,0.006155381340723415,0.006163669733609887,0.005648386106958235,0.007288581344150491,0.01913318866875567,0.031683120154710545,0.010963138625126814,0.012396846295532768,0.16388595519962307,0.040706591500584734,0.01062578255988491,0.3828587620355697,0.15335013198353598,0.03693258381543389
10500,0.004060740796931587,0.0041212881636329725,0.004339493459396402,0.00484583362755001,0.005869695272531116,0.007387117997216004,0.008025461909357793,0.0069497813426766504,0.007292516747130749,0.016320231158729933,0.04294810047006438,0.015204228870519842,0.011394353824979182,0.11666511362202012,0.06738837950481906,0.010780221955193917,0.27037041376321497,0.0661651339081858,0.17336121370025656
10750,0.0048174791404342315,0.004872029777884739,0.005065495880019153,0.005531377935977915,0.006600698747229858,0.008666158890255434,0.010585356603122298,0.009342671537625503,0.008115938209745256,0.014312913515046585,0.05059134260854567,0.02335307906617759,0.011594892392820525,0.0801302304727308,0.12110691660302506,0.011727707832675772,0.16419714499421498,0.0358490176721408,0.13255149058145466
11000,0.005917817384785688,0.005974917666249962,0.006156854768497565,0.006564496076887794,0.007574756958740627,0.009978924756046116,0.013681049058670033,0.01344787425198532,0.010132736389129421,0.013530638207509509,0.051150262403143444,0.03918610484110299,0.013116180461544736,0.05713936966119544,0.22320623549940669,0.013749719640147273,0.10286967913623365,0.022942292375547346,0.02733374801281574
11250,0.007566174710965467,0.007644639622891154,0.007856816478750047,0.008221664657348185,0.009088800920295103,0.011543413296128855,0.017005920701850776,0.020028331422818197,0.014227876076330852,0.014218325955235334,0.046900871992638274,0.06921305408954735,0.016608488166242524,0.04410378575979304,0.3689017566565441,0.017536428541372686,0.0702558020398499,0.016487028784115274,0.010457343856277036
11500,0.010142771869815726,0.010276363753662896,0.010607566734508347,0.011007154479116283,0.011679132356710087,0.013889355576991927,0.020528342083017265,0.02953235271689758,0.022352384129874562,0.016961485764772424,0.042441415692054174,0.11929934049039116,0.02380504969840104,0.0376337768829942,0.4823593492960857,0.02472355372412824,0.05259173349036757,0.012911616745589622,0.005386226039084539
11750,0.014408181288633736,0.014652735462568404,0.015271237980914747,0.015914047964474144,0.016408977097186833,0.018045197662443835,0.02499583457018653,0.04159567374717298,0.0385724527363767,0.023377777410040882,0.040852902576276086,0.18118774694947046,0.03926393202650057,0.035970366631748976,0.5240234833633357,0.03958683212597757,0.04294042112989009,0.010823654943955785,0.003270979997771533
12000,0.022029574486034136,0.022474578046044646,0.023684943659596554,0.025066999626877345,0.025639696247562887,0.026224092699117577,0.0324025430689403,0.05591869257208284,0.07026386068274378,0.0379085528384984,0.04422032167093123,0.22827115061725461,0.07608450455648616,0.03905149613095529,0.5280028326779529,0.07531902249017573,0.03808037406644487,0.00960596471123948,0.0022084486182451383
12250,0.03711674480505012,0.03790354897322879,0.04024419378805812,0.043485656713533556,0.04521200732795312,0.04407279429781186,0.04744320880705807,0.0752008110131313,0.12698512453098373,0.07368183758947051,0.05635512993579373,0.24736845732188822,0.1742611447712188,0.04923006779958183,0.5045408975586563,0.1802225882299543,0.0366555720710398,0.008964558411551313,0.0016078973814992767
12500,0.07146696664964294,0.0728017819434228,0.07717741413670086,0.08468381594203188,0.09128235277683483,0.08855106741214917,0.08359452445483034,0.1099669023826038,0.21518578845788128,0.1721158412271198,0.08910590647098719,0.2556915250671708,0.4180193510336062,0.07499746877406327,0.44958432040001445,0.44600690222055506,0.0384600688988881,0.008761960177729303,0.0012402509469394587
12750,0.1658239625201265,0.16781701998640658,0.17519818368225276,0.19117882820146667,0.21336157473796974,0.2176771626206481,0.19000707209628206,0.19393535274126344,0.3423990135194686,0.43406335335712914,0.1881935995467857,0.28350041624410943,0.6677607970098799,0.14841655380848826,0.38503601010465965,0.37020391894787774,0.044467455737568155,0.008952005251338718,0.00100242119117499
13000,0.47168230111172593,0.4727018696227521,0.4784370623835806,0.4985693154715988,0.5446441586059242,0.5909109681995244,0.5472200244440226,0.44893481567831506,0.5436100463288704,0.7814750742915613,0.5301386754357568,0.3733002313039679,0.6367143969710876,0.40034590025761757,0.34155325213075305,0.17595667958802622,0.057870797183786536,0.009558765053368817,8.428427963611555E-4
13250,0.9906913434643123,0.9887874137741314,0.9826657409653071,0.9729208027908324,0.9651439702710244,0.9556212609101348,0.9265487463299734,0.9030174440767448,0.8251254950316176,0.809227451792356,0.7239452428395733,0.5968083826158065,0.5736043406879426,0.5697509556110932,0.33697424896033784,0.10314028808606543,0.0880968483558874,0.010682955466029665,7.336604242076173E-4
13500,0.7594739296004019,0.7563151966206534,0.7509614800590981,0.7538736288666202,0.7640032333685609,0.7328882098238911,0.6141260486826532,0.5673336786806429,0.7601748708493166,0.6984427952184576,0.36043386210134165,0.7144213109025831,0.5660492870487189,0.22695040420692192,0.38722802215922947,0.0749140466854384,0.16657489679197038,0.012538729085961207,6.589931269869138E-4
13750,0.5572586865870476,0.5495637626976234,0.5297768435038049,0.5115015533622432,0.5159721889833189,0.525840475050993,0.43897127700662647,0.3158772756656777,0.4049275101686501,0.5817395260837707,0.2243098272609843,0.3478840336204083,0.5826598734314694,0.10883042498151786,0.50888170883946,0.06393566600446941,0.3732256529705336,0.015545197492165782,6.095134177015984E-4
14000,0.5985690592213794,0.5831250407307229,0.5389119595365515,0.4794354479201744,0.43860816940673636,0.44003355567911956,0.3967418419268519,0.24648778492356524,0.22509906717167738,0.44835100913559617,0.18880188135185805,0.15321200653394793,0.5808132845262882,0.07033594377766908,0.5713584414969991,0.06205999717742503,0.3654383519496985,0.020544775557235634,5.797817513410004E-4
