% Model,spaceplate_double_3d_TA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 8 2025, 10:49"
% Table,Table 18 - Surface Average 5
% freq (Hz),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))
10000,0.11925883575234741,1.5594434465337068,1.622305301569509,0.12317066908706696
10250,0.4223488981684346,4.80090993218655,4.775067219203974,0.2496592102095236
10500,1.819855955748039,8.633079412543045,8.39481590146932,0.5799038022968419
10750,2.9766413755358387,1.3586520082331663,1.6355826849486916,1.4200352428050391
11000,1.075407695460828,0.07933294401241969,0.09091002627777907,2.743457637296347
11250,0.2751546102362429,0.014604780800517317,0.01626661228967693,3.089760170982525
11500,0.10082844523737149,0.005065411840197076,0.005555409172046692,1.9578601113411762
11750,0.05241076903506727,0.002728813496552319,0.0029619960584122192,0.8685877259679374
12000,0.036105346586079966,0.002137630911631753,0.0023013369909473556,0.3793664815970125
12250,0.03172815153005526,0.0024464243308933526,0.0026135954996107033,0.18795236526678497
12500,0.03521989988701965,0.004439685653419487,0.004701302313266269,0.10723230821555894
12750,0.05032618536671583,0.016236099586337153,0.016962697675203336,0.0694123291296599
13000,0.09857574115355094,0.22611854049676086,0.23017909959558555,0.0501470850495021
13250,0.3135170027803847,0.35545624621837946,0.3948998584737697,0.039930711540638396
13500,2.7582881181108507,0.01053281736353526,0.011603019969458618,0.034754067606246726
13750,3.6882890133843054,0.0013102429184077054,0.001423753665072655,0.03291145088817341
14000,1.452861022793509,3.487746322042587E-4,3.760496078596897E-4,0.03386993565653986
14250,1.830074294530719,1.461334180705716E-4,1.5670205744065634E-4,0.037966284238689106
14500,5.057016408498773,8.54694810515375E-5,9.12400937023199E-5,0.046652445365476136
14750,8.932492864465331,6.691489250926174E-5,7.113470419614547E-5,0.06360520458583978
15000,7.358855913430491,7.109254473641299E-5,7.524409369548808E-5,0.09828095719338573
15250,0.8076310803096299,1.1281631191151158E-4,1.1876479440433706E-4,0.17879184889454688
15500,0.11151621783233026,3.6115907454915E-4,3.770935878805159E-4,0.4123413265994525
15750,0.02869882193526288,0.005758629715160802,0.005906593197162294,1.4080445379605753
16000,0.010895664553538057,0.05175174225854306,0.055856680277822146,6.934519052185348
16250,0.0054440510991992435,0.00199285837041051,0.0021436166041528533,4.159540071256171
16500,0.0033844596669525113,5.164469058197363E-4,5.489838364950245E-4,1.9192032960050938
16750,0.0025483522968077037,3.2644031504045867E-4,3.442843129163496E-4,1.4914967444582405
17000,0.0023045112674725684,3.4903890720831387E-4,3.653832426542267E-4,1.6747267605917442
17250,0.002521708296991585,5.791934491557439E-4,6.007918011671558E-4,2.563872848705251
