% Model,spaceplate_double_3d_TA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 8 2025, 11:09"
% Table,Table 19 - Surface Average 5
% freq (Hz),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))
10000,1.6268433470267587
10100,2.0768519329222483
10200,3.453781488191903
10300,6.472244672550454
10400,8.757679485555306
10500,8.381799074278076
10600,7.834435897613165
10700,3.397800439542948
10800,0.8276939191496945
10900,0.24453609670706264
11000,0.0921715374923221
11100,0.04178599624693686
11200,0.021787259023567932
11300,0.012689978147375417
11400,0.008100317711267145
11500,0.005594413245315605
11600,0.004144224365525616
11700,0.0032737825306916077
11800,0.002747897806946342
11900,0.0024462113881340486
12000,0.0023089962486876345
12100,0.0023140634813032025
12200,0.002470050556354882
12300,0.002822976986337021
12400,0.003482652081924574
12500,0.0046945761619349505
12600,0.0070416574350401434
12700,0.012082969500711917
12800,0.024755352801169365
12900,0.06453689975942985
13000,0.22669711351923516
13100,0.80966777556951
13200,0.7796105567421304
13300,0.18047298900071826
13400,0.0397680005516433
13500,0.011802785550555393
13600,0.004475613153705772
13700,0.0020294845222804396
13800,0.0010520205035982045
13900,6.053279457032992E-4
14000,3.7910466570016384E-4
14100,2.549679008419635E-4
14200,1.8242570905021592E-4
14300,1.379399963334312E-4
14400,1.0972690693436992E-4
14500,9.155090345938921E-5
14600,7.999017795333867E-5
14700,7.316285255164091E-5
14800,7.012455135124411E-5
14900,7.061856478325272E-5
15000,7.507401761610372E-5
15100,8.490010437951515E-5
15200,1.0336653120558271E-4
15300,1.3803268940797413E-4
15400,2.0809631368405584E-4
15500,3.705069164559137E-4
15600,8.359075527092593E-4
15700,0.0026635777405879133
15800,0.013618741633315603
15900,0.07474728041279069
16000,0.05818276143148764
16100,0.012233211140171913
16200,0.0035166330155763817
16300,0.0014956251295000064
16400,8.310470004733044E-4
16500,5.554472703315349E-4
16600,4.2518359214136685E-4
16700,3.6190261789231527E-4
16800,3.3637960692335363E-4
16900,3.377062376155531E-4
17000,3.639759080944773E-4
17100,4.2011409385530864E-4
17200,5.196760033692069E-4
17300,6.916537525142525E-4
17400,9.983598750929346E-4
17500,0.0015844946471708764
17600,0.0028307670390766747
17700,0.0059418918216599375
17800,0.0160280437189307
17900,0.07109340514235435
18000,1.7877034521057587
18100,0.36218979626359377
18200,0.12609566349564735
18300,0.09937605634767747
18400,0.11922429205407459
18500,0.20438774001892573
18600,0.5308972222311373
18700,2.359647483312592
18800,8.976638024161602
18900,6.403507230705068
19000,0.7909467659525046
19100,0.13251232996358783
19200,0.036216920460413526
19300,0.013474998352838403
19400,0.006164805064041852
19500,0.003277101365506118
19600,0.0019565059773405057
19700,0.001283710547637783
19800,9.123477351354932E-4
19900,6.954412709251083E-4
20000,5.646906922303818E-4
20100,4.8621155824951265E-4
20200,4.426616346076203E-4
20300,4.255500424665654E-4
20400,4.319600304343773E-4
20500,4.6357743230611117E-4
20600,5.274929978977205E-4
20700,6.393822683252554E-4
20800,8.314779821999316E-4
20900,0.0011724464804649909
21000,0.001821308879048479
21100,0.003194047040573172
21200,0.006578262736326174
21300,0.017033767162432788
21400,0.06301885616761844
21500,0.4229067193610468
21600,3.8325276023794017
21700,1.0921945869149832
21800,0.1164304072224104
21900,0.024642025860415508
22000,0.008083926999010215
22100,0.003475468349112983
22200,0.0017945041272819586
22300,0.0010596161116001106
22400,6.946180273448714E-4
22500,4.959958512379007E-4
22600,3.809255031085734E-4
22700,3.1195138276892857E-4
22800,2.708142968668582E-4
22900,2.4826607557220244E-4
23000,2.3978717780241357E-4
23100,2.4376515890932137E-4
23200,2.6089006415018815E-4
23300,2.9439077390491206E-4
23400,3.512467387834921E-4
23500,4.451369391126737E-4
23600,6.032557086195694E-4
23700,8.829232239291721E-4
23800,0.0014160536271060934
23900,0.0025442585915112603
24000,0.005304164579571543
24100,0.013621433896813676
24200,0.048194562857049414
24300,0.29608604694759727
24400,4.134899128177281
24500,4.490373791514905
24600,0.35519403585799514
24700,0.0633369008876522
24800,0.019731221646437407
24900,0.008511945628548437
25000,0.004545951921204181
25100,0.002832864004244475
25200,0.001990785246320778
25300,0.0015453570221824922
25400,0.0013082357948882898
25500,0.0011986582491478018
25600,0.0011841578276231646
25700,0.0012605930512921593
25800,0.0014498424260190508
25900,0.0018130556478173382
26000,0.0024939628819679546
26100,0.0038504343842870247
26200,0.0069193771828454445
26300,0.015579158218274209
26400,0.05306196773834733
26500,0.6480788546676205
26600,0.6863920662381623
26700,0.1302208595399676
26800,0.08087234893129455
26900,0.08140944624918947
27000,0.11929642335018013
27100,0.26839920787101207
27200,1.164266358694786
27300,12.02174428836375
27400,10.63043983175225
27500,0.5281396517652784
27600,0.06290369353341345
27700,0.014096852327135341
27800,0.004490023416752711
27900,0.0017903568006593853
28000,8.366422855485123E-4
28100,4.40931004301659E-4
28200,2.558165159560536E-4
28300,1.6077918547414185E-4
28400,1.0825875757944416E-4
28500,7.74911347560539E-5
28600,5.864494347079622E-5
28700,4.675102566364015E-5
28800,3.91686763720651E-5
28900,3.4452199576968946E-5
29000,3.1819066260735534E-5
29100,3.090049904914136E-5
29200,3.164576087629452E-5
29300,3.434267165639842E-5
29400,3.978965273800835E-5
29500,4.978356956025486E-5
29600,6.846582290148456E-5
29700,1.0649176502914453E-4
29800,1.967034213562172E-4
29900,4.7288094594001687E-4
30000,0.0018003441852202013
30100,0.01730667490011838
30200,0.10752690894430979
30300,0.003601942930933307
30400,2.88660646377218E-4
30500,4.93698937878841E-5
30600,1.3252789188385367E-5
30700,5.271708328310724E-6
30800,3.0883593623307178E-6
30900,2.4411015247652246E-6
31000,2.2916868601687457E-6
31100,2.347171552366792E-6
31200,2.5228663970098645E-6
31300,2.8042074096974625E-6
31400,3.208573820801413E-6
31500,3.7775516287406853E-6
31600,4.582404528410653E-6
31700,5.740695959098196E-6
31800,7.449785301016334E-6
31900,1.005283510250103E-5
32000,1.4173865329306046E-5
32100,2.1010172009724054E-5
32200,3.3011147003059336E-5
32300,5.559287623290657E-5
32400,1.0194346718382451E-4
32500,2.083850893844039E-4
32600,4.927632476658184E-4
32700,0.001436550768670614
32800,0.005838434973013747
32900,0.0437761380539091
33000,1.1412984043673264
33100,1.3985176207474224
33200,0.07109008344253737
33300,0.012636740308421398
33400,0.004186218729589563
33500,0.0019484841058465053
33600,0.0011271868921243111
33700,7.61419499256744E-4
33800,5.798018649367316E-4
33900,4.872843789039705E-4
34000,4.4618578678966444E-4
34100,4.417453428740572E-4
34200,4.711158358129619E-4
34300,5.409707684611691E-4
34400,6.706652445355689E-4
34500,9.036205934055435E-4
34600,0.0013391214661612073
34700,0.0022287448780657624
34800,0.004326769884404285
34900,0.010590384529197654
35000,0.040105993006537895
35100,0.6604453321765237
35200,0.4233146303491475
35300,0.09748932119743149
35400,0.06576120056867663
35500,0.06992259393113719
35600,0.10579904150140237
35700,0.23772393528125288
35800,0.9747992034535237
35900,13.094090939637406
36000,56.53654556291412
36100,1.960103543468393
36200,0.1811456064418921
36300,0.038278980601847194
36400,0.012267002259219123
36500,0.0050663552523218785
36600,0.0024913772495829675
36700,0.0013955074717132338
36800,8.665321815505614E-4
36900,5.860291448768652E-4
37000,4.2651680875535446E-4
37100,3.313162334656132E-4
37200,2.7312321476932516E-4
37300,2.3802679126003272E-4
37400,2.1879561416101489E-4
37500,2.1190994584053876E-4
37600,2.1629395498963633E-4
37700,2.3299187952701276E-4
37800,2.6563067118200493E-4
37900,3.2199772627415326E-4
38000,4.178986517204069E-4
38100,5.866533406935621E-4
38200,9.045563177185521E-4
38300,0.001568539164463861
38400,0.003178784203963299
38500,0.008057582609766946
38600,0.02925128093075167
38700,0.21085397276668758
38800,7.009725824442601
38900,3.142972677782845
39000,0.12902424536774254
39100,0.020570779851507577
39200,0.005965201780113003
39300,0.0023941414099619526
39400,0.0011818243777848721
39500,6.751568981703594E-4
39600,4.309500131154282E-4
39700,3.0066755423432517E-4
39800,2.2600892950440152E-4
39900,1.812623449108815E-4
40000,1.5407510208775778E-4
